127.0.0.1 - - [12/Oct/2021:10:57:36 +0900] "GET / HTTP/1.1" 200 11354
0:0:0:0:0:0:0:1 - - [12/Oct/2021:10:57:37 +0900] "GET /webstudy04-javascript/step14-popup.html HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [12/Oct/2021:10:57:39 +0900] "GET /webstudy04-javascript/step15-popup.jsp HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [12/Oct/2021:10:58:08 +0900] "GET /webstudy04-javascript/step14-popup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Oct/2021:10:58:08 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Oct/2021:10:58:09 +0900] "GET /webstudy04-javascript/step15-popup.jsp HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [12/Oct/2021:10:58:11 +0900] "GET /webstudy04-javascript/step15-popup.jsp HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [12/Oct/2021:12:32:38 +0900] "GET /webstudy04-javascript/step14-popup-test.html HTTP/1.1" 200 588
0:0:0:0:0:0:0:1 - - [12/Oct/2021:12:32:45 +0900] "GET /webstudy04-javascript/step15-popup.jsp HTTP/1.1" 200 312
